code,name,modality_code,facility_code,body_part,laterality,requires_contrast,contrast_phase,description,instructions,clinical_keywords,priority,is_active,is_default
CT_HEAD_STROKE,CT Head for Acute Stroke,CT,,Head,NOT_APPLICABLE,false,NON_CONTRAST,Non-contrast CT head for acute stroke evaluation,1. Scout image\n2. Axial slices 5mm thickness\n3. Bone and soft tissue windows,"stroke,acute,neurological deficit",10,true,true
CT_CHEST_PE,CT Chest for Pulmonary Embolism,CT,,Chest,NOT_APPLICABLE,true,ARTERIAL,CT pulmonary angiography for PE evaluation,1. Scout\n2. Contrast bolus timing\n3. Arterial phase acquisition,"pulmonary embolism,PE,shortness of breath,chest pain",15,true,true
CT_ABD_PELVIS,CT Abdomen and Pelvis with Contrast,CT,,Abdomen,NOT_APPLICABLE,true,VENOUS,Standard abdomen/pelvis with IV contrast,1. Scout\n2. Arterial phase optional\n3. Venous phase primary\n4. Delayed if indicated,"abdominal pain,mass,cancer staging",20,true,true
MR_BRAIN_WO,MRI Brain Without Contrast,MR,,Head,NOT_APPLICABLE,false,NONE,Standard brain MRI without contrast,1. T1 sagittal\n2. T2 axial\n3. FLAIR axial\n4. DWI/ADC,"headache,dizziness,seizure",10,true,true
MR_BRAIN_W,MRI Brain With and Without Contrast,MR,,Head,NOT_APPLICABLE,true,MULTI_PHASE,Brain MRI with pre and post contrast,1. Pre-contrast sequences\n2. Gadolinium administration\n3. Post-contrast T1,"tumor,metastasis,infection",15,true,false
XR_CHEST_PA,Chest X-Ray PA and Lateral,XR,,Chest,NOT_APPLICABLE,false,NONE,Standard 2-view chest radiograph,1. PA view - full inspiration\n2. Lateral view,"cough,fever,chest pain,routine",5,true,true
XR_KNEE_LEFT,Knee X-Ray Left,XR,,Knee,LEFT,false,NONE,Left knee radiograph,1. AP view\n2. Lateral view\n3. Sunrise view if indicated,"knee pain,trauma,left",30,true,false
XR_KNEE_RIGHT,Knee X-Ray Right,XR,,Knee,RIGHT,false,NONE,Right knee radiograph,1. AP view\n2. Lateral view\n3. Sunrise view if indicated,"knee pain,trauma,right",30,true,false
CT_SPINE_CERVICAL,CT Cervical Spine,CT,,Spine,NOT_APPLICABLE,false,NONE,Non-contrast CT cervical spine,1. Scout\n2. Axial slices 2mm\n3. Sagittal and coronal reconstructions,"neck pain,trauma,cervical",25,true,true
US_ABDOMEN,Ultrasound Abdomen Complete,US,,Abdomen,NOT_APPLICABLE,false,NONE,Complete abdominal ultrasound,1. Liver assessment\n2. Gallbladder\n3. Pancreas\n4. Kidneys\n5. Spleen,"abdominal pain,jaundice,right upper quadrant pain",15,true,true